MES;FECHA;PROVINCIA;CONFIRMADOS;FALLECIDOS;CONFIRMADOS_TOTAL;FALLECIDOS_ACUM;
2020-05;2020-05-10;BUENOS AIRES;51;3;5827;302;
2020-05;2020-05-10;CABA;165;2;5992;304;
2020-05;2020-05-10;CHACO;32;0;6024;304;
2020-05;2020-05-10;CÓRDOBA;5;0;6029;304;
2020-05;2020-05-10;RÍO NEGRO;2;0;6031;304;
2020-05;2020-05-10;SANTIAGO DEL ESTERO;1;0;6032;304;
2020-05;2020-05-10;TIERRA DEL FUEGO;2;0;6034;304;
2020-05;2020-05-11;BUENOS AIRES;44;4;6078;308;
2020-05;2020-05-11;CABA;137;3;6215;311;
2020-05;2020-05-11;CHACO;17;1;6232;312;
2020-05;2020-05-11;CÓRDOBA;14;0;6246;312;
2020-05;2020-05-11;CORRIENTES;16;0;6262;312;
2020-05;2020-05-11;LA RIOJA;1;0;6263;312;
2020-05;2020-05-11;MISIONES;1;0;6264;312;
2020-05;2020-05-11;RÍO NEGRO;13;1;6277;313;
2020-05;2020-05-11;TUCUMÁN;1;0;6278;313;
2020-05;2020-05-12;BUENOS AIRES;80;2;6358;315;
2020-05;2020-05-12;CABA;188;1;6546;316;
2020-05;2020-05-12;CHACO;10;1;6556;317;
2020-05;2020-05-12;CÓRDOBA;3;1;6559;318;
2020-05;2020-05-12;CORRIENTES;1;0;6560;318;
2020-05;2020-05-12;MENDOZA;1;0;6561;318;
2020-05;2020-05-12;RÍO NEGRO;1;0;6562;318;
2020-05;2020-05-12;SALTA;1;0;6563;318;
