MES;FECHA;BUENOS AIRES;CABA;CATAMARCA;CHACO;CHUBUT;CÓRDOBA;CORRIENTES;ENTRE RÍOS;FORMOSA;JUJUY;LA PAMPA;LA RIOJA;MENDOZA;MISIONES;NEUQUÉN;RÍO NEGRO;SALTA;SAN JUAN;SAN LUIS;SANTA CRUZ;SANTA FE;SANTIAGO DEL ESTERO;TIERRA DEL FUEGO;TUCUMÁN
2020-04;2020-04-21;975;761;0;263;2;260;34;22;0;5;5;40;73;5;102;148;3;2;11;41;225;12;124;31
2020-04;2020-04-22;1036;800;0;270;2;264;34;22;0;5;5;45;74;5;103;165;3;2;11;41;230;12;124;35
2020-04;2020-04-23;1120;837;0;280;2;266;35;22;0;5;5;45;75;5;104;169;3;2;11;41;236;12;125;35
2020-04;2020-04-24;1181;916;0;287;2;269;39;22;0;5;5;47;75;6;104;180;3;2;11;42;239;12;126;34
2020-04;2020-04-25;1275;971;0;294;2;270;40;22;0;5;5;50;75;6;104;184;3;2;11;42;242;13;130;34
2020-04;2020-04-26;1331;1007;0;297;2;273;46;23;0;5;5;50;75;6;105;185;4;2;11;43;242;15;130;35
2020-04;2020-04-27;1381;1039;0;307;2;273;46;23;0;5;5;50;75;8;108;193;4;2;11;48;242;15;131;35
2020-04;2020-04-28;1429;1089;0;307;2;275;47;23;0;5;5;51;76;8;108;206;4;2;11;48;243;15;137;36
2020-04;2020-04-29;1532;1123;0;311;2;276;47;23;0;5;5;52;78;12;109;214;4;2;11;48;243;15;137;36
2020-04;2020-04-30;1598;1168;0;314;2;278;48;23;0;5;5;52;83;12;111;228;4;2;11;49;243;15;139;38
