MES,FECHA,PROVINCIA,CONFIRMADOS,CONF_ACUM
03/2020,28/03/2020,SANTA FE,13,729
03/2020,28/03/2020,CHACO,5,734
03/2020,28/03/2020,CÓRDOBA,1,735
03/2020,28/03/2020,TIERRA DEL FUEGO,3,738
03/2020,28/03/2020,NEUQUÉN,2,740
03/2020,28/03/2020,MENDOZA,1,741
03/2020,28/03/2020,CORRIENTES,4,745
03/2020,29/03/2020,BUENOS AIRES,16,761
03/2020,29/03/2020,CABA,13,774
03/2020,29/03/2020,CHACO,4,778
03/2020,29/03/2020,SANTA FE,13,791
03/2020,29/03/2020,CÓRDOBA,18,809
03/2020,29/03/2020,TIERRA DEL FUEGO,4,813
03/2020,29/03/2020,SAN JUAN,1,814
03/2020,29/03/2020,CORRIENTES,1,815
03/2020,29/03/2020,LA PAMPA,2,817
03/2020,29/03/2020,LA RIOJA,1,818
03/2020,29/03/2020,MENDOZA,1,819
03/2020,29/03/2020,MISIONES,1,820
03/2020,30/03/2020,BUENOS AIRES,36,856
03/2020,30/03/2020,CABA,34,890
03/2020,30/03/2020,CHACO,12,902
03/2020,30/03/2020,SANTA FE,21,923
03/2020,30/03/2020,CÓRDOBA,8,931
03/2020,30/03/2020,TIERRA DEL FUEGO,11,942
03/2020,30/03/2020,CORRIENTES,10,952
03/2020,30/03/2020,ENTRE RÍOS,3,955
03/2020,30/03/2020,MENDOZA,3,958
03/2020,30/03/2020,NEUQUÉN,8,966
03/2020,31/03/2020,BUENOS AIRES,17,983
03/2020,31/03/2020,CABA,19,1002
03/2020,31/03/2020,CHACO,3,1005
03/2020,31/03/2020,CÓRDOBA,14,1019
03/2020,31/03/2020,CORRIENTES,1,1020
03/2020,31/03/2020,MENDOZA,2,1022
03/2020,31/03/2020,MISIONES,1,1023
03/2020,31/03/2020,RÍO NEGRO,1,1024
03/2020,31/03/2020,SANTA FE,22,1046
03/2020,31/03/2020,TIERRA DEL FUEGO,7,1053
03/2020,31/03/2020,TUCUMÁN,1,1054
04/2020,01/04/2020,BUENOS AIRES,10,1064
04/2020,01/04/2020,CABA,10,1074
04/2020,01/04/2020,CHACO,12,1086
04/2020,01/04/2020,CÓRDOBA,6,1092
04/2020,01/04/2020,CORRIENTES,1,1093
